5.0	0.0	0.0	0.0	0.0	0.0
15.0	75353.0	14755.33333	43919.66667	0.0	0.0
25.0	461733.0	572331.6667	754380.6667	55639.66667	524600.6667
35.0	758446.6667	2243822.667	3194081.667	1102828.333	1977989.0
45.0	978349.3333	6820680.667	9870286.667	3594953.667	6112317.667
55.0	1168849.667	1.194079267E7	1.922086667E7	9362002.0	1.070008033E7
65.0	2361716.333	1.864115233E7	3.351435167E7	1.899286467E7	1.6657407E7
75.0	3272650.333	1.852171367E7	4.473931333E7	3.635416233E7	2.5238529E7
85.0	1854493.667	1.7185896E7	4.648833633E7	4.383392133E7	3.568830533E7
95.0	1387281.0	1.2668633E7	4.0610855E7	4.964682767E7	4.243111867E7
105.0	1000769.667	8414241.333	2.9762692E7	4.1851795E7	5.427217333E7
115.0	563411.3333	4454610.0	1.882286E7	3.4654295E7	5.110932767E7
125.0	1005383.667	4815113.333	1.412359467E7	2.650735633E7	5.428160633E7
135.0	546347.6667	2989141.333	8062365.667	1.987888567E7	5.5984718E7
145.0	772452.6667	1850619.667	5448086.667	1.4851288E7	5.0640702E7
155.0	357912.6667	1693991.0	3907677.0	1.079010867E7	4.2910232E7
165.0	396906.6667	1345290.333	1953676.0	7371418.0	3.6619679E7
175.0	134292.3333	732550.6667	1130616.0	4978579.333	3.205736667E7
185.0	26865.0	409395.6667	285367.6667	2755603.667	2.4798887E7
195.0	294425.0	369703.6667	974640.6667	1505706.333	2.0645874E7
205.0	135496.3333	118794.6667	196851.3333	1826304.333	1.3802463E7
215.0	80151.33333	434423.3333	360360.3333	1018788.0	1.067275933E7
225.0	0.0	215899.3333	343300.6667	1041492.0	7568133.667
235.0	37628.0	35412.66667	138165.6667	294925.3333	4323808.667
245.0	29113.66667	0.0	75662.33333	572149.6667	4298100.333
255.0	0.0	0.0	57844.66667	279761.6667	3287403.0
265.0	0.0	0.0	57349.33333	368439.0	1870560.0
275.0	0.0	0.0	82635.0	114419.6667	1436425.0
285.0	0.0	0.0	0.0	61023.66667	1086209.0
295.0	0.0	0.0	0.0	61023.66667	1040888.667
305.0	0.0	0.0	0.0	0.0	747592.0
315.0	0.0	0.0	0.0	0.0	506930.0
325.0	0.0	0.0	0.0	0.0	50079.66667
335.0	0.0	0.0	0.0	0.0	160507.3333
345.0	0.0	0.0	0.0	0.0	635925.3333
355.0	0.0	0.0	0.0	0.0	46308.0
365.0	0.0	0.0	0.0	0.0	155246.6667
375.0	0.0	0.0	0.0	0.0	0.0
385.0	0.0	0.0	0.0	0.0	0.0
395.0	0.0	0.0	0.0	0.0	73426.0
405.0	0.0	0.0	0.0	0.0	0.0
415.0	0.0	0.0	0.0	0.0	52583.66667
425.0	0.0	0.0	0.0	0.0	0.0
435.0	0.0	0.0	0.0	0.0	0.0
445.0	0.0	252660.3333	0.0	0.0	0.0
455.0	0.0	0.0	0.0	0.0	0.0
465.0	0.0	0.0	0.0	0.0	0.0
475.0	0.0	0.0	0.0	0.0	0.0
485.0	0.0	0.0	0.0	0.0	0.0
495.0	0.0	0.0	0.0	0.0	0.0
505.0	0.0	0.0	0.0	0.0	0.0
