0.4	0.0	0.0	0.0	0.0
0.463	0.0	0.0	0.0	0.0
0.536	0.0	0.0	0.0	0.0
0.621	0.0	0.0	0.0	0.0
0.719	0.0	0.0	0.0	0.0
0.833	0.0	0.0	0.0	0.0
0.965	0.0	0.0	0.0	0.0
1.12	0.0	0.0	0.0	0.0
1.29	0.0	0.0	0.0	0.0
1.5	0.0	0.0	0.0	0.0
1.74	0.0	0.0	0.0	0.0
2.01	0.0	0.0	0.0	0.0
2.33	0.0	0.0	0.0	0.0
2.7	0.0	0.0	0.0	0.0
3.12	0.0	0.0	0.0	0.0
3.62	0.0	0.0	0.0	0.0
4.19	0.0	0.0	0.0	0.0
4.85	0.0	0.0	0.0	0.0
5.61	0.0	0.0	0.0	0.0
6.5	0.296	0.0	0.0	0.0
7.53	1.14	0.0	0.0	0.0
8.72	2.02	0.0	0.0	0.0
10.1	2.39	0.0	0.0	0.0
11.7	2.06	0.0	0.0	0.0
13.5	1.24	0.0	0.0	0.0
15.7	0.416	0.0	0.0	0.0
18.2	0.0	0.0	0.0	0.0
21.0	0.0	0.0	0.0	0.0
24.4	0.0	0.0	0.0	0.0
28.2	0.0	0.0	0.0	0.0
32.7	0.0	0.0	0.0	0.0
37.8	0.0	0.0	0.0	0.0
43.8	0.0	0.0	0.0	0.0
50.7	0.0	0.0	0.0	0.0
58.8	0.136	0.0	0.0	0.0
68.1	1.05	0.638	0.0	0.0
78.8	2.83	2.39	0.0	0.0
91.3	5.2	5.1	0.0	0.0
106.0	7.71	8.19	0.0	0.0
122.0	9.89	11.0	0.0	0.0
142.0	11.3	13.0	0.0	0.0
164.0	11.8	13.6	0.0	0.0
190.0	11.2	13.0	0.253	0.0
220.0	9.61	11.1	1.84	0.0
255.0	7.41	8.45	4.71	0.0
295.0	4.96	5.56	8.19	0.0
342.0	2.71	2.97	11.5	0.0
396.0	1.05	1.1	13.8	0.19
459.0	0.172	0.168	14.7	4.18
531.0	0.0	0.0	14.0	10.8
615.0	0.0	0.0	12.0	17.2
712.0	0.0	0.0	9.1	20.7
825.0	0.0	0.0	5.89	19.9
955.0	0.0	0.0	3.01	15.3
1110.0	0.0	0.0	0.995	8.76
1280.0	0.0	0.0	0.0615	2.98
1480.0	0.0	0.0	0.0	0.0
1720.0	0.0	0.0	0.0	0.0
1990.0	0.0	0.0	0.0	0.0
2300.0	0.0	0.0	0.0	0.0
2670.0	0.0	0.0	0.0	0.0
3090.0	0.0	0.0	0.0	0.0
3580.0	0.0	0.103	0.0	0.0
4150.0	0.253	0.521	0.0	0.0
4800.0	1.04	1.21	0.0	0.0
5560.0	2.17	1.95	0.0	0.0
6440.0	0.0	0.0	0.0	0.0
7460.0	0.0	0.0	0.0	0.0
8630.0	0.0	0.0	0.0	0.0
